Paper	Ecoregion	BIOME	Type_of_Species	Species	WU	MUWM	CARN	DOM	HARE	SM	BIRD	REPT	FISH	ARTHR	PLANTS	OTHER	WASTE	Percentage
2008_Prigioni	376	2	4	Martes	0,19				0,00	1,79	4,20			17,97	48,67	0,00	27,18	100,00
2009_Herbst	1035	4	2	AWC	1,50					33,40	1,50	26,30		21,20	16,10			100,00
2009_Home	1044	9	3	IF				1,30	0,50	8,30	1,40	7,00		34,30	26,80	2,60	17,50	99,70
2009_Zhang		5	3	RF				4,68	5,84	84,24	1,63		1,31	0,13	1,93		0,24	100,00
2010_Aryal	56	5	3	RF	18,88	2,65		1,35		29,88	2,59			5,41	24,76		13,00	98,52
2010_Giannatos	763	1	1	EUGJ			15,80	14,70	5,50	5,10	12,00			18,00	27,30	1,60		100,00
2010_Hartova	98	2	3	RF	12,97		0,57	0,11	2,78	33,91	6,60	1,80	0,93	11,36	25,39		3,57	100,00
2010_Klare.Benfontein	1035	4	1	BBJ	14,01	0,24	1,04	0,72	5,12	15,69	6,16	1,20		12,25	37,63	5,92		100,00
2010_Klare.Rooipoort	1035	4	1	BBJ	14,10	0,81	1,08	0,18	2,44	6,24	1,45	1,18		7,23	61,75	3,53		100,00
2010_Lanzski.Greece	763	1	1	EUGJ	4,10		4,10	9,50	0,00	13,60	8,30	2,50		18,70	39,00			99,80
2010_Lanzski.Hungary	206	1	1	EUGJ	3,30		0,40	0,00	0,00	65,30	1,70	0,00		0,40	28,60			99,70
2010_Lanzski.Israel	763	1	1	EUGJ	0,60		1,20	1,10	0,60	4,60	35,80	1,10		13,10	42,00			100,10
2010_Oubellil	1127	1	1	AGW	8,72	5,49	0,37	4,57	0,55	5,43	8,78	0,62		12,80	40,17	0,70	11,80	100,00
2010_Papakosta	763	1	3	RF						22,42	3,30	1,79		34,29	30,01	8,19		100,00
2010_Papakosta	763	1	4	Martes						5,11	3,81	2,46		35,47	44,21	8,93		100,00
2010_Radovic	1121	1	1	EUGJ	9,84		3,94		3,54	0,39	12,60		0,79	14,96	29,53	11,81	12,20	99,61
2010_Sidorovich	98	2	3	RF	2,61	0,03	5,84	2,48	3,93	47,38	6,41	0,19	0,00	21,91	9,30			100,09
2010_Sidorovich	98	2	4	Martes	0,61	0,38	0,08	0,00	2,57	53,60	10,08	0,95	0,00	25,51	6,87			100,63
2010_Simeneh	473	3	1	AGW				1,28		57,05	1,28			14,10	22,44		3,85	100,00
2011_Kidawa	98	2	3	RF	10,57	0,25	4,28	1,16	1,11	39,22	10,67	0,45	0,91	0,91	25,98	2,92	1,56	100,00
2011_Kirkova	74	2	3	RF	16,69		6,19	4,23	4,23	37,76	14,20	1,81	0,60	0,60	8,69	2,49	2,49	100,00
2011_Kirkova	74	2	1	EUGJ	15,76		22,30	13,00	2,52	11,82	9,14	1,89	2,60	0,00	13,08	0,00	7,88	100,00
2011_Kirkova	74	2	2	WC	2,08		2,08	2,08	8,33	68,75	12,50	2,08	0,00	0,00	0,00	2,08	0,00	100,00
2011_Kirkova	74	2	4	Martes	10,00		3,34	6,67	10,00	40,00	3,34	3,34	0,00	16,67	6,66	0,00	0,00	100,00
2011_Klare (a)	1008	4	1	BBJ	28,00		0,30		5,50	23,70	5,50	0,60		3,90	27,70	4,80		100,00
2011_Klare (a)	1008	4	3	CF	0,30		0,00		3,00	67,50	5,10	0,00		9,30	10,50	4,50		100,20
2011_Klare (b)	1008	4	3	BEF						2,04	2,30	0,77		45,15	44,90	4,85		100,00
